level_indent,unique_key,sd_code,part_no,part_name,process,line_no,supplier,quantity
          5,HAN034,HAN034,S28CBA-4376,S28-C-B-A 4.3X76 (P=78),Coil,R4,TTAST,0.2001
,,,,,,,,0.0025
          5,PN:72531-X1C02,,72531-X1C02,"RATCHET, RECLINING ADJUSTER",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
,,,,,,,,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,N32-02-W,N32-02-W,72531-X1C02-W,"RATCHET, RECLINING ADJUSTER",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,N32-02-H,N32-02-H,72531-X1C02-H,"RATCHET, RECLINING ADJUSTER",HARDENING,571,Inhouse,1.0
        4,STT001,STT001,SOLVEST-114-00,SOLVEST114 (20 kg./Pail),Grease,R1,,1.02
        4,TGP-05-W,TGP-05-W,72531-X7V13-W,"RATCHET, RECLINING ADJUSTER, RH",Washing,570,Inhouse(W),1.0
        4,TGP-05-H,TGP-05-H,72531-X7V13-H,"RATCHET, RECLINING ADJUSTER, RH",Hardening,TGH-01,Inhouse(H),1.0
        4,TGP-05-A,TGP-05-A,72531-X7V13-A,"RATCHET, RECLINING ADJUSTER, RH",Antirust,TGA-01,Inhouse(A),1.0
        4,TGP-03-W,TGP-03-W,72523-X7V47-W,"PLATE, RECLINING ADJUSTER LWR ARM, RH  (GUIDE",Washing,570,Inhouse(W),1.0
        4,TGP-03-A,TGP-03-A,72523-X7V47-A,"PLATE, RECLINING ADJUSTER LWR ARM, RH  (GUIDE",Antirust,TGA-01,Inhouse(A),1.0
        4,PN:72513-X1F00,,72513-X1F00,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Washing,570,Inhouse,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
        4,PN:72523-X1M06,,72523-X1M06,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",Washing,570,Inhouse,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
        4,PN:72531-X1C02,,72531-X1C02,"RATCHET, RECLINING ADJUSTER",Washing,570,Inhouse,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
        4,TGP-04-W,TGP-04-W,72531-X7V16-W,"RATCHET, RECLINING ADJUSTER",Washing,570,Inhouse(W),1.0
